State,Quantity
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,0
Colorado,0
Connecticut,0
Delaware,1
Florida,0
Georgia,0
Hawaii,0
Idaho,0
Illinois,0
Indiana,10
Iowa,0
Kansas,0
Kentucky,2
Louisiana,0
Maine,9
Maryland,2
Massachusetts,0
Michigan,209
Minnesota,134
Mississippi,0
Missouri,
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,3
New Mexico,403
New York,655
North Carolina,0
North Dakota,3
Ohio,141
Oklahoma,0
Oregon,0
Pennsylvania,35
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,0
Utah,0
Vermont,0
Virginia,7
Washington,0
West Virginia,0
Wisconsin,0
Wyoming,0